sku,type,variant key,Product name,Product description,Product key,category,Product price mode,brand,Premium Wet Pet Food,Premium Dry Pet Food,weight,price EUR,price PLN, price GBP,url
K-T-DT-CC2,KTT007,pet-treats,cat_treats,Catit Creamy Cat Treats 15x10g,cat_treats_007,Cat > treats,Catit Creamy,0.18,"EUR",7,"PLN",30,"GBP",6,cat_treats8
K-T-DT-AP1,KTT008,pet-treats,cat_treats,Applaws Natural Chicken Puree Lickable Cat Treats 4x15g,cat_treats_008,Cat > treats,Applaws,0.06,"EUR",4,"PLN",10,"GBP",2,cat_treats7
K-T-DT-AP2,KTT009,pet-treats,cat_treats,Applaws Natural Adult Cat Treat Mackerel Fillet 30g,cat_treats_009,Cat > treats,Applaws,0.03,"EUR",4,"PLN",10,"GBP",2,cat_treats9
K-T-DT-CC1,KTT010,pet-treats,cat_treats,Catit Creamy Lickable Cat Treats Salmon & Prawn 15x10g,cat_treats_010,Cat > treats,Catit Creamy,0.15,"EUR",8,"PLN",35,"GBP",7,cat_treats10

K-F-KF-PH1,KFK001,pet-furniture,cat_furniture,Pets at Home Smokey High Cat Hideaway Brown,cat_furniture_001,Cat > Trees & Scratching Posts,Pets at Home,One size,"EUR",17,"PLN",395,"GBP",79,cat_furniture1
K-F-KF-PH2,KFK002,pet-furniture,cat_furniture,Pets at Home Coco Haven Cat Tower Natural,cat_furniture_002,Cat > Trees & Scratching Posts,Pets at Home,One size,"EUR",58,"PLN",245,"GBP",49,cat_furniture2
K-F-KF-CT1,KFK003,pet-furniture,cat_furniture,Catit Vesper Treehouse Cat Furniture Large,cat_furniture_003,Cat > Trees & Scratching Posts,Pets at Home,Large,"EUR",271,"PLN",1150,"GBP",230,cat_furniture3
K-F-KF-PH3,KFK004,pet-furniture,cat_furniture,Pets at Home Gizmo Hammock Cat Tower Grey,cat_furniture_004,Cat > Trees & Scratching Posts,Pets at Home,One size,"EUR",47,"PLN",200,"GBP",40,cat_furniture4
K-F-KF-LL1,KFK005,pet-furniture,cat_furniture,Lords & Labradors The Helsinki Levels Fit Me Cat Play Centre,cat_furniture_005,Cat > Trees & Scratching Posts,Lords & Labradors,One size,"EUR",355,"PLN",1500,"GBP",300,cat_furniture5

K-H-KH-NR1,KHK001,pet-healthcare,cat_healthcare,Nature's Greatest Secret Colloidal Silver Antibacterial Eye Drops 30ml,cat_healthcare_001,Cat > Healthcare & Treatments,Nature's,30,"EUR",17,"PLN",75,"GBP",15,cat_healthcare1
